word,data,shap_values
access,0.0,0.22511725
accessori,0.0,0.12872028
activ,0.0,-0.27264315
addit,0.1982351357409572,-1.3405468
america,0.0,0.1883488
applic,0.0,0.022380952
area,0.0,1.2086365
asset,0.0,-1.715325
bank,0.0,-0.45796484
busi,0.0,-0.39662272
canada,0.0,-0.095473446
cancer,0.0,0.1690889
candid,0.0,0.050280705
categori,0.0,0.013921245
cell,0.0,0.61427385
client,0.0,-0.07797293
combin,0.0,0.08269274
commun,0.0,-0.0020148815
compani,0.0,-0.77500033
compon,0.0,0.12176407
compris,0.0,-0.035820615
comput,0.0,-0.02600114
connect,0.0,0.38355112
consist,0.5797341755472468,-4.995724
construct,0.0,-0.39319837
consum,0.15672010801646308,-0.35775545
content,0.0,-0.019446928
control,0.0,0.022640936
corpor,0.0,0.16573723
countri,0.0,-0.021457905
custom,0.0,-0.3164948
data,0.0,-0.06888884
deliv,0.0,-0.03822441
deliveri,0.0,-0.06312319
design,0.0,0.18415385
develop,0.0,1.6231079
diseas,0.0,-0.10342184
distribut,0.0,-0.14414467
drug,0.0,-0.06493265
enabl,0.0,0.88417256
engag,0.0,-0.15976246
engin,0.0,-0.067292534
entertain,0.0,0.40363985
equip,0.0,-0.2384919
europ,0.0,0.04348253
experi,0.0,0.064644404
explor,0.0,-0.23126042
facil,0.0,-0.13731237
focus,0.0,0.15330307
govern,0.0,-0.23204634
help,0.0,-0.096451685
includ,0.06573181450616655,-0.4986805
inform,0.0,0.07086848
infrastructur,0.0,-0.24322137
insur,0.0,-0.37397757
intellig,0.0,-0.13517551
interest,0.0,-0.2632001
leas,0.0,-0.16031258
licens,0.0,0.1614255
line,0.0,-0.2144185
llc,0.0,0.042913385
loan,0.0,0.2642775
locat,0.0,0.021258868
manag,0.0,0.13217959
manufactur,0.13351884771660316,-2.2854183
market,0.5797341755472468,1.1777277
need,0.0,0.27691576
offer,0.0,1.0066558
oper,0.08989875201328686,-0.746781
organ,0.0,-0.14968668
other,0.0,0.08728348
own,0.0,-0.11114055
patient,0.0,-0.8692704
perform,0.0,0.0042369533
pipelin,0.0,-0.2170437
platform,0.0,4.342875
portfolio,0.0,-0.046899833
process,0.0,-0.16316672
produc,0.0,9.439932e-05
product,0.0,0.37909496
program,0.0,0.39066234
project,0.0,-0.06412773
protect,0.0,-0.15784192
provid,0.0,-1.2589166
retail,0.0,0.15150663
sale,0.0,0.12797892
secur,0.0,0.06496292
segment,0.4834547242077497,7.3166995
sell,0.0,0.1005688
serv,0.0,0.025032382
subsidiari,0.0,-0.053687748
support,0.0,0.36521
system,0.0,-0.002350954
therapi,0.0,0.028495984
transport,0.0,0.0022501647
treatment,0.0,-0.19066952
use,0.0,0.12910666
util,0.0,0.022908349
varieti,0.0,-0.20421472
vehicl,0.0,0.36596766
