word,data,shap_values
access,0.0,0.14536831
accessori,0.5265587646058603,0.46902382
activ,0.0,-1.0921816
addit,0.0,-0.13799015
america,0.0,0.15326075
applic,0.12387787089640136,0.17379431
area,0.0,-0.038362194
asset,0.0,-1.8349988
bank,0.0,-0.49436107
busi,0.0,-0.4809344
canada,0.0,-0.24372314
cancer,0.0,0.17095183
candid,0.0,0.017884798
categori,0.0,0.06221454
cell,0.0,0.55023
client,0.0,-0.09997609
combin,0.0,0.109617226
commun,0.0,-0.0020148815
compani,0.0,0.5233385
compon,0.18636339621266124,-1.905864
compris,0.31191009397535396,0.19178997
comput,0.0,-0.036137525
connect,0.0,0.37789363
consist,0.0,-0.7963716
construct,0.0,-0.25544897
consum,0.12861851137885777,0.71752447
content,0.0,-0.0312474
control,0.0,-0.0043324763
corpor,0.0,-0.47793168
countri,0.0,-0.02179262
custom,0.0,-0.24015553
data,0.0,-0.104509674
deliv,0.0,-0.06667888
deliveri,0.0,-0.06012894
design,0.11392427013629168,-2.4484336
develop,0.0,1.8047875
diseas,0.0,-0.16614746
distribut,0.0,-0.15112545
drug,0.0,-0.08163084
enabl,0.0,0.58986837
engag,0.0,-0.19478247
engin,0.30541069727433323,1.5729972
entertain,0.0,0.4174484
equip,0.15051921296040333,-0.22438866
europ,0.0,0.043903243
experi,0.0,0.064574614
explor,0.0,-0.2344493
facil,0.0,-0.112112224
focus,0.0,0.1822275
govern,0.0,-0.26974407
help,0.0,-0.0923738
includ,0.16183618501193692,0.4897761
inform,0.0,0.16562682
infrastructur,0.0,-0.12441556
insur,0.0,-0.5559921
intellig,0.0,-0.14815672
interest,0.0,-0.4487748
leas,0.0,-0.13905053
licens,0.0,-0.07828254
line,0.3525348866979004,2.9497056
llc,0.0,0.08168526
loan,0.0,0.2034532
locat,0.0,0.01595921
manag,0.0,0.098316535
manufactur,0.0,-0.7445361
market,0.0,-0.076899976
need,0.0,0.8993134
offer,0.0,1.1483766
oper,0.0,-1.8431358
organ,0.0,-0.14323758
other,0.0,0.11863865
own,0.0,-0.08302359
patient,0.0,-0.46897483
perform,0.0,-0.24534379
pipelin,0.0,-0.08963316
platform,0.0,3.969202
portfolio,0.0,-0.25474602
process,0.0,-0.17277217
produc,0.0,0.13338204
product,0.4004300791704382,-2.02026
program,0.0,0.33867145
project,0.0,-0.06893215
protect,0.0,-0.15884542
provid,0.15205113826673258,1.4407581
retail,0.0,0.14055246
sale,0.0,0.104746394
secur,0.0,0.02157795
segment,0.15870644229046857,3.2702084
sell,0.2660721728715912,0.2588367
serv,0.0,-0.026323555
subsidiari,0.0,-0.040500816
support,0.0,0.2614635
system,0.0,-0.0024949189
therapi,0.0,-0.101123825
transport,0.0,0.0037071109
treatment,0.0,-0.09813288
use,0.0,-0.04080732
util,0.0,0.026320089
varieti,0.0,-0.14142159
vehicl,0.0,0.5957382
