feature,importance
mm1_tot_pft_rt,0.038079873
mm3_tot_pft_rt,0.018687334
yr1_tot_pft_rt,0.07135662
acl_pft_rt_z_sor,0.22365746
ifo_rt_z_sor,0.04275867
shpr_z_sor,0.119036056
crr_z_sor,0.012538314
trk_err_z_sor,0.11973488
mxdd_z_sor,0.010075972
vty_z_sor,0.06477586
dividend_num,0.095426306
dividend_total,0.014625163
cus_cgr_act_cnt_rt_12,0.017528523
cus_cgr_act_cnt_rt_21,0.049676247
cus_cgr_act_cnt_rt_22,0.010120652
cus_cgr_act_cnt_rt_23,0.012962549
cus_cgr_act_cnt_rt_24,0.012165336
cus_cgr_act_cnt_rt_25,0.009650981
cus_cgr_act_cnt_rt_31,0.0054059844
cus_cgr_act_cnt_rt_32,0.026171207
cus_cgr_act_cnt_rt_33,0.0085559795
cus_cgr_act_cnt_rt_34,0.008346097
top5_pct,0.008663874
