Method,cluster_n,Silhouette,Calinski-Harabasz,Davies-Bouldin
KMeans,4,0.43426615,266.69450138984865,0.7370510466111397
Agglomerative,4,0.39757347,236.82015491977455,0.7462829475946561
Spectral,4,0.43362695,261.35445907609034,0.7418218904449198
MeanShift,2,0.34550634,152.71562023828648,1.179773871812724
